seat_id,expected_disposition,grok_bot_id,grok_state,openclaw_agent_id,expected_skills,observed_skills,skill_hash_verified,activation_level,owner,model,clean_runs,failed_runs,critical_failures,final_status,blocker,evidence_references
pa,Keep,b2978a95-b098-4d50-864b-6fa2bf7477ff,existing_retained,pa,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
coo,Keep,e6d4d12a-6c80-4d85-8140-17ab73a54a64,existing_retained,coo,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,Anthony C. Garcia,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
cto,Keep,2a4abb44-fadc-4103-91d6-3735e434872c,existing_retained,cto,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
cfo,Keep,f06124d7-9cf8-4f2a-844f-b4265c64816e,existing_retained,cfo,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
cmo,Keep one GTM,83f762c1-bf71-427d-8be1-6b7660dbb42d,existing_retained,cmo,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
cso,Clarify then merge,8f3baca0-a9f0-49c9-a8c0-18461185d507,existing_retained,cso,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,cso_unresolved;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
cco,Clarify then merge,2f8279cd-e73b-4457-b5d6-2cb7f73553a4,existing_retained,cco,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,cco_unresolved;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
chro,Merge/conditional,88ecf9ee-9f63-412c-9b31-4e2d7f977f9f,existing_retained,chro,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
controller,Keep,e61899af-2471-4eb5-9675-e14627ad11a3,existing_retained,controller,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
bookkeeper,Keep,750215eb-efa1-4f74-888a-4e944f963da5,existing_retained,bookkeeper,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
